"Semana 1","Semana 2","Semana 3","Semana 4","Semana 5","Semana 6","Total"
"Practicas realizadas",34,15,13,10,17,19,108
"Ensayos entregados",25,23,22,23,18,23,134
"Cuestionarios realizados",30,29,29,22,21,26,157
"Promedio de todas las practicas",100,42.3529411764706,37.3235294117647,29.4117647058824,43.5294117647059,51.1764705882353,50.6323529411765
"Promedio de todos los ensayos",65.7352941176471,54.9411764705882,59.5588235294118,56.9411764705882,51.5294117647059,57.5882352941176,57.7156862745098
"Promedio de todos los cuestionarios",75.8823529411765,69.1176470588235,69.7058823529412,57.6470588235294,52.3529411764706,60.8823529411765,64.2647058823529
"Promedio de practicas realizadas",100,96,97.6153846153846,100,87.0588235294118,91.5789473684211,95.6388888888889
"Promedio de ensayos entregados",89.4,81.2173913043478,92.0454545454545,84.1739130434783,97.3333333333333,85.1304347826087,87.865671641791
"Promedio de cuestionarios realizados",86,81.0344827586207,81.7241379310345,89.0909090909091,84.7619047619048,79.6153846153846,83.5031847133758
